CID,IDSURVEY,zHD,zHDERR,zCMB,zCMBERR,zHEL,zHELERR,m_b_corr,m_b_corr_err_DIAG,MU_SH0ES,MU_SH0ES_ERR_DIAG,CEPH_DIST,IS_CALIBRATOR,USED_IN_SH0ES_HF,c,cERR,x1,x1ERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,RA,DEC,HOST_RA,HOST_DEC,HOST_ANGSEP,VPEC,VPECERR,MWEBV,HOST_LOGMASS,HOST_LOGMASS_ERR,PKMJD,PKMJDERR,NDOF,FITCHI2,FITPROB,m_b_corr_err_RAW,m_b_corr_err_VPEC,biasCor_m_b,biasCorErr_m_b,biasCor_m_b_COVSCALE,biasCor_m_b_COVADD
2007ss,65,0.01652,0.00085,0.01619,1e-05,0.01557,1e-05,15.1607,0.345316,34.4137,0.34637,-9.0,0,0,0.24779,0.031616,-1.30935,0.09044,16.0119,0.0409359,0.00706726,0.000266459,-0.000466429,1.01148e-06,-7.14739e-06,190.275,50.3913,-999,-999,-9.0,-97.1613,250,0.0128674,10.31,0.074,54453.7,0.3152,35,35.8472,0.42855,0.0707,0.1126,-0.1606,0.005,1.0,0.027
8495,1,0.21365,0.00101,0.21353,2e-05,0.21498,2e-05,20.7554,0.188405,40.0084,0.19033,-9.0,0,0,-0.020313,0.042751,0.76464,0.47104,20.5844,0.0637953,0.00010477,6.15604e-06,0.00673051,-1.64126e-06,-1.79018e-07,335.261,-0.7482,-9,-9,0.872,-28.6867,250,0.0612895,11.034,0.063,53689.9,0.3514,23,39.9235,0.0156752,0.118,0.0113,-0.0478,0.002,1.0,0.003
05D1kl,4,0.55882,0.00164,0.55875,0.001,0.56,0.001,23.4801,0.382347,42.7331,0.3833,-9.0,0,0,0.13383,0.039728,0.66353,0.2988,23.8877,0.0369417,4.99926e-06,1.70098e-07,0.00115599,-2.23114e-08,-2.88905e-09,36.1397,-4.319,-999,-999,-9.0,-12.6048,250,0.0216299,8.425,0.2825,53742.9,0.4177,17,14.741,0.61413,0.1259,0.0078,0.0393,0.01,1.0,0.048
2008fr,65,0.03828,0.00218,0.0379,0.002,0.039,0.002,16.8611,0.234604,36.1141,0.236153,-9.0,0,1,-0.117726,0.029092,0.49771,0.11284,16.5287,0.0416668,0.00439053,0.000168493,-0.000679532,3.27795e-06,-3.86602e-06,17.9548,14.6408,-999,-999,-9.0,-110.971,250,0.0386775,8.07746,0.075,54732.7,0.3369,50,20.928,0.99991,0.0677,0.126,0.0527,0.003,1.0,0.005
13934,1,0.32941,0.00111,0.32931,4e-05,0.33093,4e-05,22.1579,0.309396,41.4109,0.310571,-9.0,0,0,-0.088457,0.073334,-0.654623,0.8847,21.966,0.0925152,2.9348e-05,2.50073e-06,0.0125561,-1.21846e-06,-5.64726e-08,342.111,-0.4353,-9,-9,2.089,-21.8579,250,0.0861894,10.791,0.119,54007.3,0.991,66,40.2999,0.99474,0.2574,0.0084,-0.0673,0.006,0.656,0.0
1993ag,50,0.04985,0.00089,0.05019,0.00015,0.04909,0.00015,17.3872,0.242899,36.6402,0.244395,-9.0,0,0,0.047309,0.050063,-0.828686,0.13624,17.6141,0.0700589,0.00161568,0.000104255,-0.00123586,1.77113e-07,-3.41205e-06,150.894,-35.4626,-999,-999,-9.0,96.2267,250,0.0951683,10.7191,0.28089,49317.2,0.2454,22,21.3863,0.49699,0.1273,0.0397,-0.094,0.004,1.0,0.009
05D2ct,4,0.73596,0.00176,0.73602,0.001,0.734,0.001,23.9145,0.424782,43.1675,0.425639,-9.0,0,0,0.089997,0.068262,0.36808,0.46935,24.104,0.0548247,4.09654e-06,2.06856e-07,0.000994071,-6.77623e-08,-2.84338e-10,150.426,2.1238,-999,-999,-9.0,9.1907,250,0.0150317,9.761,0.0685,53425.2,0.4675,27,32.5034,0.21395,0.2407,0.0066,-0.0869,0.008,1.0,0.017
15459,1,0.1256,0.00094,0.12542,2e-05,0.12679,2e-05,19.8887,0.297722,39.1417,0.298944,-9.0,0,0,0.11269,0.030425,0.37953,0.22191,20.2955,0.0462356,0.000136713,5.82184e-06,0.00199316,-4.16171e-07,-1.36462e-07,340.701,-0.9018,-9,-9,0.13,-46.771,250,0.0495322,8.73681,0.056,54035.5,0.1893,48,52.6447,0.29905,0.0675,0.0172,0.0619,0.012,1.0,0.037
1997E,62,0.01376,0.00085,0.01314,0.00012,0.01315,0.00012,14.5119,0.287526,33.7649,0.288791,-9.0,0,0,0.016054,0.033342,-1.75207,0.090864,14.9015,0.0782587,0.0196513,0.00141644,-0.000386056,9.47667e-06,-3.75366e-05,101.909,74.4975,-999,-999,-9.0,-184.243,250,0.10956,8.75604,1.5,50468.5,0.0976,26,21.1494,0.73421,0.0656,0.1351,0.0291,0.006,1.0,0.016
19282,1,0.17256,0.0011,0.17239,0.0005,0.1738,0.0005,20.2491,0.175342,39.5021,0.177409,-9.0,0,0,-0.03095,0.025302,1.24309,0.24272,20.041,0.0354105,0.000172817,5.63629e-06,0.000952123,-5.80463e-07,-1.00093e-07,359.072,-0.5059,-9,-9,-9.0,-41.783,250,0.0279913,7.0,-9.0,54397.4,0.1638,50,45.2664,0.66345,0.0712,0.0149,0.0186,0.005,1.0,0.009
1999dk,57,0.01389,0.00085,0.014,0.0,0.01502,0.0,14.4121,0.294973,33.6651,0.296207,-9.0,0,0,-0.002704,0.040957,-0.329226,0.069128,14.5259,0.0434113,0.0277745,0.00111052,-0.000369925,1.93323e-06,-3.39881e-05,22.8622,14.2849,-999,-999,-9.0,31.2944,250,0.0432866,9.64099,-9.0,51415.2,0.0581,34,43.3692,0.13025,0.1006,0.1338,0.0212,0.003,1.0,0.013
18945,1,0.262,0.00117,0.26187,0.0005,0.2633,0.0005,21.4686,0.215206,40.7216,0.216893,-9.0,0,0,-0.036814,0.042492,0.18686,0.50529,21.3399,0.0465893,5.22445e-05,2.24183e-06,0.00344273,-6.10381e-07,-5.26966e-08,10.0784,-1.0374,-9,-9,-9.0,-29.6558,250,0.0191841,7.0,-9.0,54390.3,0.4537,36,24.418,0.92867,0.1379,0.0108,-0.0397,0.005,1.0,0.003
2004as,63,0.03296,0.00086,0.0325,1e-05,0.03139,1e-05,16.6377,0.22412,35.8907,0.225741,-9.0,0,1,0.021543,0.028066,0.42134,0.13801,16.6988,0.0322341,0.00375385,0.000111447,8.83673e-05,-2.74325e-06,-2.69086e-06,171.413,22.8304,-999,-999,-9.0,-136.074,250,0.0131774,8.76504,0.06,53086.3,0.148,16,37.7745,0.00162947,0.0658,0.0576,0.0043,0.004,1.0,0.015
04D2gc,4,0.52271,0.00162,0.52277,0.001,0.521,0.001,23.0966,0.272593,42.3496,0.273927,-9.0,0,0,0.009597,0.035118,1.1143,0.20565,23.0586,0.0273755,1.07292e-05,2.70523e-07,-0.00015857,-1.90234e-08,-4.10552e-09,150.414,1.8831,-999,-999,-9.0,12.1413,250,0.0159326,9.326,0.2025,53118.1,0.2548,14,15.5766,0.33991,0.1115,0.0081,0.0443,0.004,1.0,0.023
2002bf,63,0.02525,0.00085,0.02494,1e-05,0.02438,1e-05,15.6911,0.239204,34.9441,0.240723,-9.0,0,0,-0.103208,0.092017,-2.2722,0.30468,15.7978,0.15303,0.00860737,0.00121319,0.0145497,-0.000164888,-0.000103508,153.926,55.6685,-999,-999,-9.0,-91.716,250,0.00963584,10.3104,0.031,52338.3,0.9293,3,0.21944,0.97439,0.1361,0.074,0.0382,0.001,1.0,0.003
2005eu,64,0.03516,0.00507,0.03369,0.005,0.03449,0.005,16.5508,0.4813,35.8038,0.482057,-9.0,0,0,-0.083511,0.035279,0.85504,0.096376,16.2508,0.0788767,0.0056714,0.000412017,5.0757e-05,-1.43081e-06,-1.22679e-05,36.9303,28.1768,-999,-999,-9.0,-427.555,250,0.11306,8.86794,0.0,53660.7,0.1017,65,131.826,1.89647e-06,0.062,0.3185,0.0319,0.003,1.0,0.005
Aphrodite,100,1.29911,0.00535,1.29912,0.005,1.30001,0.005,25.6111,0.273963,44.8641,0.275291,-9.0,0,0,-0.056718,0.050218,0.62301,0.34804,25.4394,0.0408062,1.19745e-06,4.50049e-08,0.00547882,-4.89556e-09,4.66787e-10,53.1563,-27.7796,-999,-999,-9.0,1.6056,250,0.00686365,8.76,0.09,52552.8,0.6228,10,28.5423,0.00147721,0.1801,0.0125,0.0432,0.002,1.0,0.004
7876,1,0.0752,0.0009,0.0749,1e-05,0.07602,1e-05,18.2233,0.177722,37.4763,0.179761,-9.0,0,0,-0.02499,0.021045,0.46915,0.093387,18.1515,0.030609,0.000984904,2.77663e-05,0.000214653,-5.28068e-07,-4.55889e-07,19.1825,0.7946,-9,-9,3.701,-83.8601,250,0.0262922,9.78646,0.04,53685.5,0.0716,31,54.6332,0.00548727,0.0474,0.0269,0.0223,0.008,1.0,0.013
12781,1,0.08309,0.00092,0.08282,0.00018,0.08408,0.00018,18.7409,0.193241,37.9939,0.195118,-9.0,0,0,0.041548,0.026795,-1.83569,0.18894,19.1417,0.0401816,0.00039565,1.46425e-05,0.000781542,-1.4557e-06,-2.84987e-07,5.4066,-1.01,-9,-9,5.254,-73.9179,250,0.0245566,10.4457,0.078,53979.3,0.2303,39,40.9113,0.38658,0.07,0.025,-0.0509,0.006,1.0,0.013
